ts,id,district,fwy,dir,lane_type,length,samples,pct_obs,flow,occ,speed,l1_samples,l1_flow,l1_occ,l1_speed,l1_obs,l2_samples,l2_flow,l2_occ,l2_speed,l2_obs,l3_samples,l3_flow,l3_occ,l3_speed,l3_obs,l4_samples,l4_flow,l4_occ,l4_speed,l4_obs,l5_samples,l5_flow,l5_occ,l5_speed,l5_obs,l6_samples,l6_flow,l6_occ,l6_speed,l6_obs,l7_samples,l7_flow,l7_occ,l7_speed,l7_obs,l8_samples,l8_flow,l8_occ,l8_speed,l8_obs
2026-01-06 00:00:00,421258,4,580,W,ML,1.055,20,100,25.0,0.0104,66.8,10,7.0,0.0032,71.2,1,10.0,18.0,0.0176,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:00:00,421260,4,580,W,ML,1.129,20,100,29.0,0.01,67.0,10,9.0,0.0049,71.2,1,10.0,20.0,0.0151,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:05:00,421258,4,580,W,ML,1.055,20,100,23.0,0.0118,65.5,10,9.0,0.0038,71.2,1,10.0,14.0,0.0198,61.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:05:00,421260,4,580,W,ML,1.129,20,100,25.0,0.0086,66.8,10,8.0,0.0042,71.2,1,10.0,17.0,0.0129,64.7,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:10:00,421258,4,580,W,ML,1.055,20,100,20.0,0.0063,66.7,10,7.0,0.003,71.2,1,10.0,13.0,0.0096,64.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:10:00,421260,4,580,W,ML,1.129,20,100,21.0,0.0063,67.2,10,7.0,0.0039,71.1,1,10.0,14.0,0.0086,65.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:15:00,421258,4,580,W,ML,1.055,20,100,20.0,0.0073,66.6,10,5.0,0.0019,71.3,1,10.0,15.0,0.0127,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:15:00,421260,4,580,W,ML,1.129,20,100,26.0,0.0094,66.3,10,7.0,0.0039,71.1,1,10.0,19.0,0.0149,64.5,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:20:00,421258,4,580,W,ML,1.055,20,100,22.0,0.0095,66.8,10,8.0,0.0033,71.3,1,10.0,14.0,0.0157,64.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:20:00,421260,4,580,W,ML,1.129,20,100,17.0,0.0054,67.1,10,6.0,0.003,71.2,1,10.0,11.0,0.0077,64.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:25:00,421258,4,580,W,ML,1.055,20,100,13.0,0.0053,65.8,10,2.0,0.0008,71.3,1,10.0,11.0,0.0098,64.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:25:00,421260,4,580,W,ML,1.129,20,100,15.0,0.0044,66.4,10,3.0,0.0016,71.2,1,10.0,12.0,0.0072,65.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:30:00,421258,4,580,W,ML,1.055,20,100,17.0,0.0063,66.7,10,4.0,0.0016,71.3,1,10.0,13.0,0.0109,65.3,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:30:00,421260,4,580,W,ML,1.129,20,100,15.0,0.0051,66.3,10,3.0,0.0016,71.2,1,10.0,12.0,0.0086,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:35:00,421258,4,580,W,ML,1.055,20,100,11.0,0.004,67.0,10,3.0,0.0014,71.2,1,10.0,8.0,0.0066,65.4,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:35:00,421260,4,580,W,ML,1.129,20,100,17.0,0.0056,67.2,10,6.0,0.0032,71.2,1,10.0,11.0,0.008,65.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:40:00,421258,4,580,W,ML,1.055,20,100,11.0,0.0057,66.4,10,3.0,0.0014,71.1,1,10.0,8.0,0.0101,64.6,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:40:00,421260,4,580,W,ML,1.129,20,100,13.0,0.0044,66.0,10,2.0,0.0009,71.3,1,10.0,11.0,0.0079,65.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
