ts,id,district,fwy,dir,lane_type,length,samples,pct_obs,flow,occ,speed,l1_samples,l1_flow,l1_occ,l1_speed,l1_obs,l2_samples,l2_flow,l2_occ,l2_speed,l2_obs,l3_samples,l3_flow,l3_occ,l3_speed,l3_obs,l4_samples,l4_flow,l4_occ,l4_speed,l4_obs,l5_samples,l5_flow,l5_occ,l5_speed,l5_obs,l6_samples,l6_flow,l6_occ,l6_speed,l6_obs,l7_samples,l7_flow,l7_occ,l7_speed,l7_obs,l8_samples,l8_flow,l8_occ,l8_speed,l8_obs
2026-08-03 00:50:00,421260,4,580,W,ML,1.129,20,100,22.0,0.0076,67.1,10,8.0,0.0043,71.2,1,10.0,14.0,0.011,64.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:55:00,421258,4,580,W,ML,1.055,20,100,20.0,0.0084,66.3,10,5.0,0.0022,71.2,1,10.0,15.0,0.0146,64.7,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 00:55:00,421260,4,580,W,ML,1.129,20,100,27.0,0.009,67.0,10,9.0,0.0052,71.1,1,10.0,18.0,0.0129,64.9,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:00:00,421258,4,580,W,ML,1.055,20,100,22.0,0.0087,67.3,10,8.0,0.0031,71.3,1,10.0,14.0,0.0144,65.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:00:00,421260,4,580,W,ML,1.129,20,100,20.0,0.0066,66.8,10,6.0,0.0033,71.1,1,10.0,14.0,0.0098,65.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:05:00,421258,4,580,W,ML,1.055,20,100,15.0,0.0054,67.5,10,5.0,0.0022,71.2,1,10.0,10.0,0.0086,65.6,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:05:00,421260,4,580,W,ML,1.129,20,100,16.0,0.005,68.1,10,8.0,0.0042,71.2,1,10.0,8.0,0.0059,65.0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:10:00,421258,4,580,W,ML,1.055,20,100,22.0,0.0105,66.7,10,8.0,0.0035,71.1,1,10.0,14.0,0.0175,64.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:10:00,421260,4,580,W,ML,1.129,20,100,22.0,0.0083,66.5,10,7.0,0.0036,71.2,1,10.0,15.0,0.0129,64.3,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:15:00,421258,4,580,W,ML,1.055,20,100,14.0,0.0054,67.1,10,5.0,0.0021,71.1,1,10.0,9.0,0.0087,64.9,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:15:00,421260,4,580,W,ML,1.129,20,100,15.0,0.0054,66.7,10,5.0,0.0029,71.1,1,10.0,10.0,0.0079,64.5,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:20:00,421258,4,580,W,ML,1.055,20,100,15.0,0.006,66.8,10,4.0,0.0017,71.1,1,10.0,11.0,0.0104,65.3,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:20:00,421260,4,580,W,ML,1.129,20,100,17.0,0.0076,64.9,10,3.0,0.0014,71.3,1,10.0,14.0,0.0138,63.5,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:25:00,421258,4,580,W,ML,1.055,20,100,12.0,0.0059,66.1,10,2.0,0.0008,71.2,1,10.0,10.0,0.0109,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:25:00,421260,4,580,W,ML,1.129,19,100,16.0,0.0053,65.7,10,3.0,0.0017,71.2,1,9.0,13.0,0.009,64.4,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:30:00,421258,4,580,W,ML,1.055,20,100,17.0,0.0077,66.5,10,4.0,0.0016,71.2,1,10.0,13.0,0.0137,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:30:00,421260,4,580,W,ML,1.129,20,100,16.0,0.0054,65.6,10,2.0,0.0011,71.2,1,10.0,14.0,0.0097,64.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:35:00,421258,4,580,W,ML,1.055,20,100,10.0,0.0039,67.5,10,4.0,0.0016,71.2,1,10.0,6.0,0.0062,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:35:00,421260,4,580,W,ML,1.129,20,100,12.0,0.0038,67.5,10,5.0,0.0026,71.2,1,10.0,7.0,0.005,64.9,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:40:00,421258,4,580,W,ML,1.055,20,100,14.0,0.0062,67.5,10,6.0,0.0024,71.2,1,10.0,8.0,0.0101,64.7,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:40:00,421260,4,580,W,ML,1.129,20,100,14.0,0.0058,67.8,10,7.0,0.0038,71.2,1,10.0,7.0,0.0078,64.3,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:45:00,421258,4,580,W,ML,1.055,20,100,14.0,0.0065,66.0,10,2.0,0.0011,71.0,1,10.0,12.0,0.0118,65.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:45:00,421260,4,580,W,ML,1.129,20,100,17.0,0.0053,65.5,10,1.0,0.0006,71.1,1,10.0,16.0,0.0099,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:50:00,421258,4,580,W,ML,1.055,20,100,19.0,0.0072,67.4,10,6.0,0.0023,71.2,1,10.0,13.0,0.0121,65.6,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:50:00,421260,4,580,W,ML,1.129,20,100,22.0,0.0077,66.8,10,7.0,0.0035,71.2,1,10.0,15.0,0.012,64.7,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:55:00,421258,4,580,W,ML,1.055,20,100,11.0,0.0063,65.4,10,1.0,0.0004,71.2,1,10.0,10.0,0.0123,64.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 01:55:00,421260,4,580,W,ML,1.129,20,100,14.0,0.0068,64.7,10,2.0,0.001,71.2,1,10.0,12.0,0.0126,63.6,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:00:00,421258,4,580,W,ML,1.055,20,100,11.0,0.0081,64.9,10,3.0,0.0012,71.2,1,10.0,8.0,0.015,62.6,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:00:00,421260,4,580,W,ML,1.129,20,100,7.0,0.0023,65.4,10,1.0,0.0004,71.4,1,10.0,6.0,0.0041,64.4,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:05:00,421258,4,580,W,ML,1.055,20,100,14.0,0.0051,65.6,10,2.0,0.0009,71.1,1,10.0,12.0,0.0093,64.7,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:05:00,421260,4,580,W,ML,1.129,20,100,19.0,0.0063,66.2,10,4.0,0.0019,71.4,1,10.0,15.0,0.0106,64.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:10:00,421258,4,580,W,ML,1.055,20,100,14.0,0.0063,66.3,10,3.0,0.0012,71.2,1,10.0,11.0,0.0115,64.9,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:10:00,421260,4,580,W,ML,1.129,20,100,12.0,0.0036,67.2,10,4.0,0.002,71.4,1,10.0,8.0,0.0051,65.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:15:00,421258,4,580,W,ML,1.055,20,100,8.0,0.0037,65.2,10,0.0,0.0,71.2,1,10.0,8.0,0.0075,65.2,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:15:00,421260,4,580,W,ML,1.129,20,100,18.0,0.0066,66.2,10,4.0,0.0022,71.3,1,10.0,14.0,0.011,64.8,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-08-03 02:20:00,421258,4,580,W,ML,1.055,20,100,15.0,0.0101,63.9,10,3.0,0.0013,71.2,1,10.0,12.0,0.019,62.1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
