ts,id,l1_flow,l1_occ,l1_speed,l2_flow,l2_occ,l2_speed,l3_flow,l3_occ,l3_speed,l4_flow,l4_occ,l4_speed,l5_flow,l5_occ,l5_speed,l6_flow,l6_occ,l6_speed,l7_flow,l7_occ,l7_speed,l8_flow,l8_occ,l8_speed
2026-01-06 00:00:20,421258,0.0,0.0,0.0,1.0,0.0067,60.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:00:20,421260,0.0,0.0,0.0,1.0,0.0067,56.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:00:50,421258,0.0,0.0,0.0,1.0,0.0067,52.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:00:50,421260,0.0,0.0,0.0,4.0,0.0356,42.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:01:20,421258,1.0,0.005,60.0,3.0,0.0256,46.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:01:20,421260,1.0,0.0039,78.0,1.0,0.0128,60.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:01:50,421258,1.0,0.0039,78.0,2.0,0.0156,52.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:01:50,421260,2.0,0.0139,56.0,5.0,0.035,49.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:02:20,421258,0.0,0.0,0.0,1.0,0.0067,52.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:02:20,421260,2.0,0.0106,65.0,2.0,0.0167,60.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:02:50,421258,1.0,0.0039,78.0,2.0,0.0167,49.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:02:50,421260,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:03:20,421258,0.0,0.0,0.0,1.0,0.0067,60.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:03:20,421260,1.0,0.005,78.0,3.0,0.0217,56.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:03:50,421258,2.0,0.0106,52.0,5.0,0.0689,44.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:03:50,421260,1.0,0.0056,65.0,2.0,0.0117,65.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:04:20,421258,2.0,0.0089,60.0,2.0,0.0228,40.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:04:20,421260,1.0,0.005,71.0,2.0,0.0106,71.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:04:50,421258,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:04:50,421260,1.0,0.005,78.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:05:20,421258,1.0,0.0039,78.0,4.0,0.0339,52.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:05:20,421260,4.0,0.02,71.0,2.0,0.0167,49.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:05:50,421258,2.0,0.0078,78.0,1.0,0.0067,60.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:05:50,421260,1.0,0.0067,71.0,3.0,0.0267,46.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:06:20,421258,1.0,0.0039,78.0,1.0,0.0078,52.0,,,,,,,,,,,,,,,,,,
2026-01-06 00:06:20,421260,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
