ts,id,district,fwy,dir,lane_type,length,samples,pct_obs,flow,occ,speed,l1_samples,l1_flow,l1_occ,l1_speed,l1_obs,l2_samples,l2_flow,l2_occ,l2_speed,l2_obs,l3_samples,l3_flow,l3_occ,l3_speed,l3_obs,l4_samples,l4_flow,l4_occ,l4_speed,l4_obs,l5_samples,l5_flow,l5_occ,l5_speed,l5_obs,l6_samples,l6_flow,l6_occ,l6_speed,l6_obs,l7_samples,l7_flow,l7_occ,l7_speed,l7_obs,l8_samples,l8_flow,l8_occ,l8_speed,l8_obs
2026-01-06 00:45:00,421238,4,580,E,ML,3.005,30,67,54.0,0.0145,64.0,10,3.0,0.0014,71.9,1,10.0,16.0,0.0095,69.6,1,10.0,35.0,0.0325,60.7,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:50:00,421237,4,580,E,ML,1.513,30,67,39.0,0.0125,63.2,10,3.0,0.0031,71.4,1,10.0,6.0,0.0047,68.9,1,10.0,30.0,0.0296,61.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:50:00,421238,4,580,E,ML,3.005,30,67,40.0,0.0117,63.5,10,4.0,0.0031,71.5,1,10.0,6.0,0.0035,69.7,1,10.0,30.0,0.0285,61.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:55:00,421237,4,580,E,ML,1.513,30,67,50.0,0.0197,61.8,10,5.0,0.0035,71.5,1,10.0,11.0,0.0191,64.3,1,10.0,34.0,0.0364,59.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 00:55:00,421238,4,580,E,ML,3.005,30,67,46.0,0.0133,63.4,10,2.0,0.0009,71.8,1,10.0,11.0,0.0077,69.4,1,10.0,33.0,0.0313,60.9,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:00:00,421237,4,580,E,ML,1.513,30,67,40.0,0.012,62.5,10,2.0,0.0012,71.7,1,10.0,7.0,0.0047,67.6,1,10.0,31.0,0.0301,60.7,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:00:00,421238,4,580,E,ML,3.005,30,67,42.0,0.012,63.4,10,4.0,0.0021,71.8,1,10.0,7.0,0.0046,69.5,1,10.0,31.0,0.0294,60.9,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:05:00,421237,4,580,E,ML,1.513,30,67,41.0,0.0148,62.4,10,1.0,0.0007,71.7,1,10.0,8.0,0.0105,67.9,1,10.0,32.0,0.0332,60.7,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:05:00,421238,4,580,E,ML,3.005,30,67,41.0,0.0118,63.5,10,1.0,0.0004,72.0,1,10.0,9.0,0.005,69.8,1,10.0,31.0,0.0301,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 01:10:00,421237,4,580,E,ML,1.513,29,67,51.0,0.017,63.5,9,3.0,0.0017,71.9,1,10.0,13.0,0.0142,68.4,1,10.0,35.0,0.0351,60.9,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
